epoch,accuracy,auc,f1_score,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
50,0.4886363744735718,0.8460923433303833,0.7936146259307861,4.999999873689376e-05,0.40972888469696045,1.0,0.6578450202941895,0.7272727489471436,0.8571429252624512,0.64000004529953,0.7760905623435974,0.7272727489471436,0.5714285969734192
51,0.484375,0.8401851058006287,0.7715269327163696,4.986578642274253e-05,0.4466596841812134,0.997032642364502,0.6292135119438171,0.7272727489471436,0.864661693572998,0.64000004529953,0.7621564865112305,0.7272727489471436,0.5714285969734192
52,0.4630681872367859,0.8496357202529907,0.7589388489723206,4.9464615585748106e-05,0.44853487610816956,0.9939576983451843,0.6138059496879578,0.7272727489471436,0.8627820014953613,0.64000004529953,0.7635073065757751,0.7272727489471436,0.5714285969734192
53,0.5227272510528564,0.8802428841590881,0.7748815417289734,4.880088454228826e-05,0.42474833130836487,1.0,0.6324951648712158,0.7272727489471436,0.8665413856506348,0.64000004529953,0.7495514750480652,0.7272727489471436,0.5714285969734192
54,0.5198863744735718,0.8652539253234863,0.7793427109718323,4.788186197401956e-05,0.43799445033073425,1.0,0.6384615302085876,0.7272727489471436,0.8684210181236267,0.64000004529953,0.7348793745040894,0.7272727489471436,0.5714285969734192
55,0.515625,0.8613878488540649,0.7878788113594055,4.671762144425884e-05,0.42886054515838623,0.9941176176071167,0.6525096297264099,0.7272727489471436,0.8665413856506348,0.64000004529953,0.7388477325439453,0.7272727489471436,0.5714285969734192
56,0.5241477489471436,0.8658240437507629,0.7764705419540405,4.532091770670377e-05,0.4648618996143341,0.9909909963607788,0.6382978558540344,0.7272727489471436,0.86654132604599,0.64000004529953,0.7397060394287109,0.7272727489471436,0.5714285969734192
57,0.47159090638160706,0.8594977855682373,0.7734553217887878,4.370704846223816e-05,0.44457438588142395,0.9970501661300659,0.6317756772041321,0.7272727489471436,0.86654132604599,0.64000004529953,0.7377958297729492,0.7272727489471436,0.5714285969734192
58,0.53125,0.8799286484718323,0.794359564781189,4.1893701563822106e-05,0.42487284541130066,0.9970501661300659,0.66015625,0.7272727489471436,0.8665413856506348,0.64000004529953,0.7308098077774048,0.7272727489471436,0.5714285969734192
59,0.546875,0.8567260503768921,0.7995283007621765,3.9900740375742316e-05,0.42611876130104065,0.9970588088035583,0.6673228144645691,0.7272727489471436,0.86654132604599,0.64000004529953,0.7388526201248169,0.7272727489471436,0.5714285969734192
60,0.5397727489471436,0.8520368337631226,0.7853773236274719,3.775000004679896e-05,0.42787694931030273,1.0,0.6466019153594971,0.7272727489471436,0.86654132604599,0.64000004529953,0.7447076439857483,0.7272727489471436,0.5714285969734192
61,0.5042613744735718,0.8469590544700623,0.7532777190208435,3.5465047403704375e-05,0.49086859822273254,0.9968454241752625,0.6053639650344849,0.7272727489471436,0.8665413856506348,0.64000004529953,0.7333924770355225,0.7272727489471436,0.5714285969734192
62,0.4701704680919647,0.8446298837661743,0.7644340991973877,3.307091537863016e-05,0.4720805883407593,0.9969879388809204,0.6198501586914062,0.7272727489471436,0.8665414452552795,0.64000004529953,0.7303709983825684,0.7272727489471436,0.5714285969734192
63,0.4900568127632141,0.8540163636207581,0.7549824118614197,3.0593837436754256e-05,0.4485805630683899,1.0,0.6064029932022095,0.7272727489471436,0.8646616339683533,0.64000004529953,0.7319933176040649,0.7272727489471436,0.5714285969734192
64,0.484375,0.8631524443626404,0.7862069010734558,2.8060947443009354e-05,0.409976989030838,0.9970845580101013,0.6489563584327698,0.7272727489471436,0.864661693572998,0.64000004529953,0.7370315194129944,0.7272727489471436,0.5714285969734192
65,0.4829545319080353,0.8639557361602783,0.7607935070991516,2.5499999537714757e-05,0.4788815379142761,0.9969419240951538,0.6150943636894226,0.7272727489471436,0.8646616339683533,0.64000004529953,0.7355089783668518,0.7272727489471436,0.5714285969734192
66,0.4701704680919647,0.8444371223449707,0.7672811150550842,2.2939053451409563e-05,0.4300459623336792,0.9970059990882874,0.6235954761505127,0.7272727489471436,0.8627818822860718,0.64000004529953,0.7324047684669495,0.7272727489471436,0.5714285969734192
67,0.5326704382896423,0.8510029911994934,0.7712574601173401,2.040616345766466e-05,0.44829055666923523,0.9969040155410767,0.62890625,0.7272727489471436,0.8609021902084351,0.64000004529953,0.7283816933631897,0.7272727489471436,0.5714285969734192
68,0.49289771914482117,0.8502619862556458,0.7782909870147705,1.7929083696799353e-05,0.42258456349372864,1.0,0.6370510458946228,0.7272727489471436,0.8609022498130798,0.64000004529953,0.7293909788131714,0.7272727489471436,0.5714285969734192
69,0.5284090638160706,0.8840257525444031,0.7890995144844055,1.553495167172514e-05,0.42303866147994995,0.9970059990882874,0.6529411673545837,0.7272727489471436,0.8609021902084351,0.64000004529953,0.733712375164032,0.7272727489471436,0.5714285969734192
70,0.5340909361839294,0.8540498614311218,0.7752675414085388,1.3249999938125256e-05,0.46360862255096436,0.9969419240951538,0.6342412233352661,0.7272727489471436,0.8609022498130798,0.64000004529953,0.7337703108787537,0.7272727489471436,0.5714285969734192
71,0.48153409361839294,0.8652120232582092,0.7764976620674133,1.1099261428171303e-05,0.4533977508544922,0.9941002726554871,0.6370510458946228,0.7272727489471436,0.8609022498130798,0.64000004529953,0.7338058352470398,0.7272727489471436,0.5714285969734192
72,0.4801136255264282,0.8723388910293579,0.760465145111084,9.106300240091514e-06,0.4523718059062958,0.9969512224197388,0.6146616339683533,0.7272727489471436,0.8627819418907166,0.64000004529953,0.7351657748222351,0.7272727489471436,0.5714285969734192
73,0.47585228085517883,0.8595033884048462,0.7711670398712158,7.292951977433404e-06,0.4558424651622772,0.9941002726554871,0.6299065351486206,0.7272727489471436,0.8627819418907166,0.64000004529953,0.7374483942985535,0.7272727489471436,0.5714285969734192
74,0.4985795319080353,0.8713637590408325,0.7660069465637207,5.679083642462501e-06,0.4244535565376282,0.9969696998596191,0.6219281554222107,0.7272727489471436,0.8609022498130798,0.64000004529953,0.7357782125473022,0.7272727489471436,0.5714285969734192
75,0.515625,0.8513691425323486,0.7654027938842773,1.7129510752056376e-06,0.43439435958862305,0.9969135522842407,0.6211538314819336,0.7272727489471436,0.8627819418907166,0.64000004529953,0.7362692952156067,0.7272727489471436,0.5714285969734192
76,0.5127840638160706,0.859785795211792,0.7656065821647644,3.118136191915255e-06,0.4528065621852875,1.0,0.6202290058135986,0.7272727489471436,0.8627818822860718,0.64000004529953,0.7387745380401611,0.7272727489471436,0.5714285969734192
77,0.5269886255264282,0.8640035390853882,0.7772511839866638,2.199115442635957e-06,0.41759946942329407,0.9879518151283264,0.640625,0.7272727489471436,0.8609021902084351,0.64000004529953,0.7387303113937378,0.7272727489471436,0.5714285969734192
78,0.4985795319080353,0.8750580549240112,0.7797001004219055,1.535383830741921e-06,0.4289405643939972,1.0,0.6389414072036743,0.7272727489471436,0.8609021902084351,0.64000004529953,0.7404428720474243,0.7272727489471436,0.5714285969734192
79,0.5085227489471436,0.8440098166465759,0.7704917788505554,1.1342135621816851e-06,0.4298188090324402,0.9939576983451843,0.629063069820404,0.7272727489471436,0.8609021902084351,0.64000004529953,0.7414069175720215,0.7272727489471436,0.5714285969734192
